DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,3,0,3,36,28,01:00:45 26-May-2017,MA,A,35.1089,-73.6469,39.7992,-48.9428,,,401677517,-130
ex1,1,Mk10,DS,7,0,3,36,18,02:46:40 26-May-2017,MA,1,35.4872,-74.7095,31.1666,-95.6443,50,,401650000,-131
ex1,1,Mk10,DS,8,0,5,45,16,07:59:13 26-May-2017,NP,2,35.4931,-74.6809,31.3916,-55.8576,68,,401677534,-124
ex1,1,Mk10,DS,5,0,1,34,16,09:39:32 26-May-2017,NP,Z,35.5839,-74.6533,41.3267,-103.8862,51,,401650000,-131
ex1,1,Mk10,DS,4,0,3,16,16,10:03:03 26-May-2017,NK,0,35.7540,-74.5431,26.4770,-30.3118,65,,401677705,-131
ex1,1,Mk10,DS,4,0,3,29,16,15:11:03 26-May-2017,MA,0,35.2584,-74.1074,36.7377,-81.8132,58,,401677543,-125
ex1,1,Mk10,DS,5,0,4,53,20,16:44:22 26-May-2017,MA,0,35.7417,-74.6336,46.6588,-129.3226,58,,401677657,-129
ex1,1,Mk10,DS,2,0,2,24,24,19:18:10 26-May-2017,NP,B,35.8368,-76.7970,38.4805,-62.3813,8,,401677657,-134
ex1,1,Mk10,DS,4,0,4,53,20,21:17:19 26-May-2017,NK,0,35.0772,-75.0579,43.2057,-33.2215,58,,401650000,-137
ex1,1,Mk10,DS,2,0,0,22,22,23:04:42 26-May-2017,SR,B,34.7328,-73.8213,32.9989,-64.4681,8,,401677657,-128
ex1,1,Mk10,DS,3,0,1,60,22,23:04:54 26-May-2017,NK,,,,,,,,401650000,-129
ex1,1,Mk10,DS,5,0,3,33,19,02:21:24 27-May-2017,MA,0,36.0526,-73.4915,33.3470,-87.3092,58,,401677698,-124
ex1,1,Mk10,DS,3,0,3,32,22,08:36:38 27-May-2017,SR,A,35.4311,-74.6459,46.2173,-17.5650,60,,401677566,-138
ex1,1,Mk10,DS,3,0,2,60,15,09:38:53 27-May-2017,NK,A,35.4339,-74.2865,23.8734,-18.7327,6,,401677592,-135
ex1,1,Mk10,DS,4,0,4,58,20,11:55:47 27-May-2017,SR,1,27.6223,-112.6070,35.4250,-74.9106,60,,401677615,-126
ex1,1,Mk10,DS,7,0,5,21,15,12:49:17 27-May-2017,NN,Z,34.5362,-73.6865,38.4419,-92.3723,38,,401677651,-127
ex1,1,Mk10,DS,8,0,5,42,16,14:43:44 27-May-2017,MA,0,35.5336,-74.7859,34.8272,-71.4246,48,,401677584,-115
